Auckland,University of Auckland
Melbourne,University of Melbourne
DAE,Ewha Womans University (DAE)
ANU,Australian National University
NSW,University of New South Wales
Korea,Korea University
Seikei,Seikei University
Otago,University of Otago
EDiS,EDiS
UQ,University of Queensland
UWA,University of Western Australia
Canterbury,University Of Canterbury Debating Society
Multimedia,Multimedia University
NUS,National University of Singapore
KDU,KDU College
NTU,Nanyang Technological University (NTU)
Singapore Poly.,Singapore Polytechnic
Monash,Monash University
Macquarie,Macquarie University
USU,University of Sydney Union
ICU,International Christian University
Tsuda,Tsuda College
Underwood,"Underwood Int’l College, Yonsei University"
UGM,Universitas Gadjah Mada
UM Sabah,Universiti Malaysia Sabah
Keio,Keio University
Victoria,Victoria University of Wellington
IBA,IBA
IIU,International Islamic University
Peking,Peking University
MMUM,Multimedia University Melaka (MMUM)
Ateneo,Ateneo de Manila University
Griffith,Griffith University
Mudra,Mudra Institute of Communications Ahmedabad
DLSU,De La Salle University
UTechSyd,"University of Technology, Sydney"
U Indonesia,Universitas Indonesia
ITB,"Institut Teknologi Bandung, Indonesia"
CAU,Chung Ang University Debate Society (CAU)
Macau,University of Macau
Beijing UT,Beijing University of Technology
UT Mara,UT Mara
IND,Independent Judges
