code,region,name
Viridian,Kanto,Viridian Trainers' College
Pewter,Kanto,Pewter City Technical College
Celadon,Kanto,Celadon City Trainers' Academy
Fuchsia,Kanto,Fuchsia School of Technology
Saffron,Kanto,Saffron City University
Earl's,Johto,Earl's Academy in Violet City
Ecruteak,Johto,Ecruteak City Trainers' College
Olivine,Johto,Olivine City Academy
Goldenrod,Johto,Goldenrod City University
Blackthorn,Johto,Blackthorn City College
Petalburg,Hoenn,Petalburg Trainers' Institute
Rustboro,Hoenn,Rustboro Institute of Technology
Mauville,Hoenn,University of Mauville
Lilycove,Hoenn,Lilycove Trainers' Academy
