name,code,abbreviation,region
California Institute of Technology,Caltech,Calt,CA
Columbia University,Columbia,Colum,NY
Cornell University,Cornell,Corn,NY
Harvard University,Harvard,Harv,MA
Johns Hopkins University,Johns Hopkins,JHU,MD
Massachusetts Institute of Technology,MIT,MIT,MA
Princeton University,Princeton,Prin,
Stanford University,Stanford,Stan,CA
"University of California, Berkeley",Berkeley,Cal,CA
University of Chicago,Chicago,Chic,
University of Pennsylvania,Pennsylvania,Penn,PA
University of Toronto,Toronto,Toron,
Yale University,Yale,Yale,CT
