name,code,abbreviation
Adjudication Core,Adj Core,Adj Core,
Independent Adjudicators,Indep,Indie,
Colonial University of Colony,Colony,CU,
Young Hacks,Young,YH,
Obligatory Schools Team,Children,C,
Moderate Cabal,Cabal,MC,
University of Barely a City,City,UBC,
University of Major Capital,Capital,UMC,
Social Justice League,Justice,SJL,
Business School of Business,Business,BSB,
University of University,University,UoU,
University of Internet,Internet,IU,
University of Foreignland,Foreign,FU,
Old Hacks, Old,OH,
