round_abbv,motion_seq,referece,text
R1,1,"TBA Tue W1","TBA Tue W1 Motion"
R1,2,"TBA Wed W1","TBA Wed W1 Motion"
R1,3,"TBA Tue W2","TBA Tue W2 Motion"
R1,4,"TBA Wed W2","TBA Wed W2 Motion"
R2,1,"TBA Tue W1","TBA Tue W1 Motion"
R2,2,"TBA Wed W1","TBA Wed W1 Motion"
R2,3,"TBA Tue W2","TBA Tue W2 Motion"
R2,4,"TBA Wed W2","TBA Wed W2 Motion"
R3,1,"TBA Tue W1","TBA Tue W1 Motion"
R3,2,"TBA Wed W1","TBA Wed W1 Motion"
R3,3,"TBA Tue W2","TBA Tue W2 Motion"
R3,4,"TBA Wed W2","TBA Wed W2 Motion"
M1,1,"TBA Makeup 1","TBA Makeup 1 Motion"
R4,1,"TBA Tue W1","TBA Tue W1 Motion"
R4,2,"TBA Wed W1","TBA Wed W1 Motion"
R4,3,"TBA Tue W2","TBA Tue W2 Motion"
R4,4,"TBA Wed W2","TBA Wed W2 Motion"
R5,1,"TBA Tue W1","TBA Tue W1 Motion"
R5,2,"TBA Wed W1","TBA Wed W1 Motion"
R5,3,"TBA Tue W2","TBA Tue W2 Motion"
R5,4,"TBA Wed W2","TBA Wed W2 Motion"
M2,1,"TBA Makeup 2","TBA Makeup 2 Motion"
