Adj Core,Adjudication Core
Indep,Independent Adjudicators
Victoria 1,Victoria University of Wellington 1
Victoria 2,Victoria University of Wellington 2
Victoria 3,Victoria University of Wellington 3
Victoria 4,Victoria University of Wellington 4
Victoria 5,Victoria University of Wellington 5
Wellington Gold,Wellington Gold Schools
Wellington Black,Wellington Black Schools
Kahurangi,Kahurangi Schools
Hawkes Bay,Hawkes Bay Schools
Otago 1,University of Otago 1
Otago 2,University of Otago 2
Auckland,University of Auckland
Ewha,Ewha Womans University
Solbridge,Solbridge International School of Business
Sydney,University of Sydney
UTS 1,"Univeristy of Technology, Sydney 1"
UTS 2,"Univeristy of Technology, Sydney 2"
Queensland 1,University of Queensland 1
Queensland 2,University of Queensland 2
BYE,Bye Team
