name,institution,team_name
Speaker A,All Saint's,1
Speaker B,All Saint's,1
Speaker C,All Saint's,1
Speaker D,All Saint's,1
Speaker A,Applecross,1
Speaker B,Applecross,1
Speaker C,Applecross,1
Speaker D,Applecross,1
Speaker A,Aquinas,1
Speaker B,Aquinas,1
Speaker C,Aquinas,1
Speaker D,Aquinas,1
Speaker A,Aquinas,2
Speaker B,Aquinas,2
Speaker C,Aquinas,2
Speaker D,Aquinas,2
Speaker A,Carmel,1
Speaker B,Carmel,1
Speaker C,Carmel,1
Speaker D,Carmel,1
Speaker A,CCGS,1
Speaker B,CCGS,1
Speaker C,CCGS,1
Speaker D,CCGS,1
Speaker A,CCGS,2
Speaker B,CCGS,2
Speaker C,CCGS,2
Speaker D,CCGS,2
Speaker A,CCGS,3
Speaker B,CCGS,3
Speaker C,CCGS,3
Speaker D,CCGS,3
Speaker A,CCGS,4
Speaker B,CCGS,4
Speaker C,CCGS,4
Speaker D,CCGS,4
Speaker A,Chisholm,1
Speaker B,Chisholm,1
Speaker C,Chisholm,1
Speaker D,Chisholm,1
Speaker A,Chisholm,2
Speaker B,Chisholm,2
Speaker C,Chisholm,2
Speaker D,Chisholm,2
Speaker A,Guildford,1
Speaker B,Guildford,1
Speaker C,Guildford,1
Speaker D,Guildford,1
Speaker A,Guildford,2
Speaker B,Guildford,2
Speaker C,Guildford,2
Speaker D,Guildford,2
Speaker A,Guildford,3
Speaker B,Guildford,3
Speaker C,Guildford,3
Speaker D,Guildford,3
Speaker A,Hale,1
Speaker B,Hale,1
Speaker C,Hale,1
Speaker D,Hale,1
Speaker A,Hale,2
Speaker B,Hale,2
Speaker C,Hale,2
Speaker D,Hale,2
Speaker A,Hale,3
Speaker B,Hale,3
Speaker C,Hale,3
Speaker D,Hale,3
Speaker A,Hale,4
Speaker B,Hale,4
Speaker C,Hale,4
Speaker D,Hale,4
Speaker A,Hale,5
Speaker B,Hale,5
Speaker C,Hale,5
Speaker D,Hale,5
Speaker A,Hale,6
Speaker B,Hale,6
Speaker C,Hale,6
Speaker D,Hale,6
Speaker A,Hale,7
Speaker B,Hale,7
Speaker C,Hale,7
Speaker D,Hale,7
Speaker A,Hale,8
Speaker B,Hale,8
Speaker C,Hale,8
Speaker D,Hale,8
Speaker A,Hale,9
Speaker B,Hale,9
Speaker C,Hale,9
Speaker D,Hale,9
Speaker A,Iona,1
Speaker B,Iona,1
Speaker C,Iona,1
Speaker D,Iona,1
Speaker A,JSR,1
Speaker B,JSR,1
Speaker C,JSR,1
Speaker D,JSR,1
Speaker A,Mercedes,1
Speaker B,Mercedes,1
Speaker C,Mercedes,1
Speaker D,Mercedes,1
Speaker A,Mercedes,2
Speaker B,Mercedes,2
Speaker C,Mercedes,2
Speaker D,Mercedes,2
Speaker A,Mindarie,1
Speaker B,Mindarie,1
Speaker C,Mindarie,1
Speaker D,Mindarie,1
Speaker A,MLC,1
Speaker B,MLC,1
Speaker C,MLC,1
Speaker D,MLC,1
Speaker A,Mt. Lawley,1
Speaker B,Mt. Lawley,1
Speaker C,Mt. Lawley,1
Speaker D,Mt. Lawley,1
Speaker A,Mt. Lawley,2
Speaker B,Mt. Lawley,2
Speaker C,Mt. Lawley,2
Speaker D,Mt. Lawley,2
Speaker A,Newman,1
Speaker B,Newman,1
Speaker C,Newman,1
Speaker D,Newman,1
Speaker A,Ocean Reef,1
Speaker B,Ocean Reef,1
