name,priority,group,time
A01,10,Aquinas College on Tuesdays on Week A,2015-03-22 19:30:00+11
B02,10,Christ Church Grammar School on Tuesdays on Week A,2015-03-22 19:30:00+11
C03,10,Christ Church Grammar School on Tuesdays on Week B,2015-03-22 19:30:00+11
D03,10,Hale School on Wednesdays on Week A,2015-03-22 19:30:00+11
E04,10,Perth College on Wednesdays on Week A,2015-03-22 19:30:00+11
F05,10,Perth College on Wednesdays on Week B,2015-03-22 19:30:00+11
G06,10,Shenton College on Tuesdays on Week B,2015-03-22 19:30:00+11
H07,10,St Mark's Anglican Community School on ? on Week ?,2015-03-22 19:30:00+11
I08,10,St Mark's Anglican Girls' School on Wednesdays on Week B,2015-03-22 19:30:00+11
J09,10,St Mary's Anglican Girls' School on Wednesdays on Week B,2015-03-22 19:30:00+11
A01,10,Aquinas College on Tuesdays on Week A,2015-03-29 19:30:00+11
B02,10,Christ Church Grammar School on Tuesdays on Week A,2015-03-29 19:30:00+11
C03,10,Christ Church Grammar School on Tuesdays on Week B,2015-03-29 19:30:00+11
D03,10,Hale School on Wednesdays on Week A,2015-03-29 19:30:00+11
E04,10,Perth College on Wednesdays on Week A,2015-03-29 19:30:00+11
F05,10,Perth College on Wednesdays on Week B,2015-03-29 19:30:00+11
G06,10,Shenton College on Tuesdays on Week B,2015-03-29 19:30:00+11
H07,10,St Mark's Anglican Community School on ? on Week ?,2015-03-29 19:30:00+11
I08,10,St Mark's Anglican Girls' School on Wednesdays on Week B,2015-03-29 19:30:00+11
J09,10,St Mary's Anglican Girls' School on Wednesdays on Week B,2015-03-29 19:30:00+11
A01,10,Aquinas College on Tuesdays on Week A,2015-04-05 19:30:00+11
B02,10,Christ Church Grammar School on Tuesdays on Week A,2015-04-05 19:30:00+11
C03,10,Christ Church Grammar School on Tuesdays on Week B,2015-04-05 19:30:00+11
D03,10,Hale School on Wednesdays on Week A,2015-04-05 19:30:00+11
E04,10,Perth College on Wednesdays on Week A,2015-04-05 19:30:00+11
F05,10,Perth College on Wednesdays on Week B,2015-04-05 19:30:00+11
G06,10,Shenton College on Tuesdays on Week B,2015-04-05 19:30:00+11
H07,10,St Mark's Anglican Community School on ? on Week ?,2015-04-05 19:30:00+11
I08,10,St Mark's Anglican Girls' School on Wednesdays on Week B,2015-04-05 19:30:00+11
J09,10,St Mary's Anglican Girls' School on Wednesdays on Week B,2015-04-05 19:30:00+11
