Adjudication Core,Adj Core
Independent Adjudicators,Independent
Asian University for Women,AUW
Ateneo de Manila University,Ateneo
Australian National University,ANU
Ewha Womans University,Ewha
Griffith University,Griffith
International Christian University,Intl Christian
International Islamic University Malaysia,Intl Islamic
Macquarie University,Macquarie
Monash University,Monash
Nanyang Technological University,Nanyang Tech
National University of Singapore,NU Singapore
Northeastern University at Qinhuangdao,NE Qinhuangdao
Otago University,Otago
Singapore Polytechnic,Singapore Poly
SolBridge,SolBridge
Tianjin Foreign Studies University,Tianjin FSU
Universitas Indonesia,Indonesia
Universiti Malaysia Terengganu,UM Terengganu
Universiti Teknologi MARA,UT MARA
University of Auckland,Auckland
University of Canterbury,Canterbury
University of Macau,Macau
University of Melbourne,Melbourne
University of New South Wales,UNSW
University of Queensland,Queensland
University of Sydney Union,Sydney Union
University of Technology Sydney,UT Sydney
University of Waikato,Waikato
University of Western Australia Debating Union,UWA
Victoria University of Wellington,Victoria
